1574710967,3,-168.55000000000337,-241.6000000000139
1574710968,2,-167.45000000000317,-242.250000000014
1574710969,2,-166.35000000000298,-242.80000000001414
1574710970,2,-165.10000000000284,-243.30000000001425
1574710971,3,-163.8000000000027,-243.75000000001435
1574710972,3,-162.5000000000026,-244.15000000001444
1574710973,2,-161.20000000000246,-244.4500000000145
1574710974,2,-159.85000000000235,-244.70000000001457
1574710975,2,-158.50000000000225,-244.95000000001463
1574710976,2,-157.10000000000215,-245.15000000001467
1574710977,2,-155.75000000000205,-245.2500000000147
1574710978,2,-154.40000000000194,-245.3000000000147
1574710979,2,-153.05000000000183,-245.3000000000147
1574710980,2,-151.70000000000172,-245.20000000001468
1574710981,2,-150.35000000000161,-245.05000000001465
1574710982,2,-149.0500000000015,-244.8500000000146
1574710983,2,-147.75000000000136,-244.55000000001453
1574710984,5,-146.45000000000124,-244.15000000001444
